,Pass,YardsToGo,Down,2nd_and_short
0,1,10,1,False
1,1,10,1,False
2,1,10,1,False
3,1,10,2,False
4,0,10,3,False
5,0,10,1,False
6,0,2,2,True
7,0,1,3,False
8,1,20,1,False
9,1,11,2,False
10,0,2,3,False
11,0,10,1,False
12,1,13,2,False
13,1,6,3,False
14,0,10,1,False
15,1,7,2,False
16,1,10,1,False
17,1,10,1,False
18,1,10,1,False
19,0,10,1,False
20,1,10,2,False
21,1,10,1,False
22,0,10,1,False
23,0,2,2,True
24,0,1,3,False
25,1,9,1,False
26,1,6,2,False
27,0,10,1,False
28,1,10,1,False
29,0,10,1,False
30,0,6,2,False
31,1,5,3,False
32,0,10,1,False
33,0,10,1,False
34,1,1,2,True
35,0,1,1,False
36,1,1,2,True
37,0,10,1,False
38,1,10,1,False
39,1,15,2,False
40,0,3,3,False
41,1,10,1,False
42,1,10,1,False
43,0,10,2,False
44,1,5,3,False
45,0,1,1,False
46,1,1,2,True
47,1,1,3,False
48,0,10,1,False
49,1,12,2,False
50,1,12,3,False
51,0,10,1,False
52,0,10,1,False
53,1,9,2,False
54,0,10,1,False
55,0,7,2,False
56,1,4,3,False
57,1,10,1,False
58,1,9,2,False
59,1,8,3,False
60,1,10,1,False
61,1,10,1,False
62,0,15,1,False
63,1,15,2,False
64,1,8,3,False
65,1,1,1,False
66,0,6,1,False
67,1,10,1,False
68,1,10,1,False
69,0,3,2,True
70,1,2,1,False
71,1,2,2,True
72,1,10,1,False
73,1,10,2,False
74,1,10,1,False
75,1,10,1,False
76,0,10,2,False
77,1,10,1,False
78,0,10,2,False
79,1,7,3,False
80,1,1,4,False
81,1,8,2,False
82,1,20,1,False
83,1,20,2,False
84,1,10,1,False
85,0,10,1,False
86,1,9,2,False
87,1,7,3,False
88,0,15,1,False
89,1,10,1,False
90,1,20,2,False
91,1,6,3,False
92,1,10,1,False
93,1,10,2,False
94,1,1,3,False
95,1,10,1,False
96,0,2,2,True
97,0,13,1,False
98,1,3,2,True
99,1,3,3,False
100,1,10,1,False
101,0,10,1,False
102,1,7,2,False
103,0,10,1,False
104,1,8,2,False
105,0,10,1,False
106,1,9,2,False
107,1,10,1,False
108,1,10,2,False
109,1,10,1,False
110,1,10,2,False
111,1,10,1,False
112,1,10,2,False
113,1,10,3,False
114,1,10,1,False
115,1,10,2,False
116,1,10,1,False
117,1,10,1,False
118,1,14,2,False
119,1,9,3,False
120,1,1,4,False
121,1,10,1,False
122,0,2,2,True
123,1,10,1,False
124,1,4,2,True
125,1,10,1,False
126,1,10,1,False
127,0,5,2,False
128,0,5,3,False
129,0,10,1,False
130,0,11,2,False
131,1,10,1,False
132,1,7,2,False
133,1,10,1,False
134,1,8,1,False
135,0,8,2,False
136,1,10,1,False
137,1,10,1,False
138,0,6,2,False
139,1,3,3,False
140,1,10,1,False
141,0,4,2,True
142,1,10,1,False
143,0,20,2,False
144,1,17,3,False
145,1,10,1,False
146,1,10,2,False
147,0,10,1,False
148,1,7,2,False
149,0,1,3,False
150,1,10,1,False
151,0,10,1,False
152,1,10,1,False
153,0,6,2,False
154,1,4,3,False
155,0,6,1,False
156,1,2,2,True
157,1,2,3,False
158,1,10,1,False
159,0,2,2,True
160,1,10,1,False
161,1,1,2,True
162,0,1,3,False
163,0,3,1,False
164,1,1,2,True
165,1,10,1,False
166,1,3,2,True
167,1,10,1,False
168,1,10,1,False
169,1,10,2,False
170,0,1,3,False
171,0,10,1,False
172,1,13,2,False
173,0,13,3,False
174,0,1,1,False
175,1,10,1,False
176,1,10,1,False
177,1,6,2,False
178,0,10,1,False
179,0,10,1,False
180,1,8,2,False
181,0,10,1,False
182,1,9,2,False
183,1,4,3,False
184,0,1,1,False
185,0,1,2,True
186,1,10,1,False
187,1,12,2,False
188,1,4,3,False
189,0,10,1,False
190,0,2,2,True
191,0,1,3,False
192,0,10,1,False
193,1,7,2,False
194,0,10,1,False
195,0,15,2,False
196,1,10,3,False
197,0,10,1,False
198,1,8,2,False
199,1,8,3,False
200,0,6,1,False
201,0,3,2,True
202,0,1,3,False
203,0,10,1,False
204,0,11,2,False
205,1,10,1,False
206,1,10,2,False
207,0,10,3,False
208,1,10,1,False
209,0,10,1,False
210,0,17,2,False
211,1,12,3,False
212,0,10,1,False
213,0,10,1,False
214,0,6,2,False
215,0,1,3,False
216,1,10,1,False
217,0,4,2,True
218,0,10,1,False
219,1,18,2,False
220,0,11,3,False
221,1,10,1,False
222,1,10,1,False
223,1,3,2,True
224,1,10,1,False
225,1,10,2,False
226,0,1,3,False
227,0,1,1,False
228,0,10,1,False
229,1,8,2,False
230,1,8,3,False
231,0,10,1,False
232,1,18,2,False
233,1,10,1,False
234,1,20,1,False
235,0,10,1,False
236,1,6,2,False
237,0,10,1,False
238,0,4,2,True
239,1,5,3,False
240,0,10,1,False
241,1,10,1,False
242,1,10,1,False
243,0,4,2,True
244,1,2,3,False
245,1,20,1,False
246,1,13,2,False
247,1,10,1,False
248,1,11,2,False
249,1,11,3,False
250,0,1,4,False
251,0,10,1,False
252,0,10,1,False
253,0,7,2,False
254,0,12,3,False
255,0,10,1,False
256,0,11,2,False
257,1,5,1,False
258,0,5,2,False
259,0,1,3,False
260,1,10,1,False
261,1,4,2,True
262,1,10,1,False
263,1,7,2,False
264,1,10,1,False
265,1,10,1,False
266,1,10,2,False
267,1,10,1,False
268,0,10,2,False
269,1,7,3,False
270,0,10,1,False
271,1,9,2,False
272,1,10,1,False
273,1,10,2,False
274,1,5,3,False
275,1,10,1,False
276,1,10,2,False
277,0,10,1,False
278,0,10,1,False
